date,time,age,confirmed,deceased
25.03.2020,0,0,105,0
25.03.2020,0,10,475,0
25.03.2020,0,20,2473,0
25.03.2020,0,30,943,1
25.03.2020,0,40,1246,1
25.03.2020,0,50,1724,10
25.03.2020,0,60,1154,20
25.03.2020,0,70,611,39
25.03.2020,0,80,406,55
26.03.2020,0,0,106,0
26.03.2020,0,10,488,0
26.03.2020,0,20,2508,0
26.03.2020,0,30,955,1
26.03.2020,0,40,1252,1
26.03.2020,0,50,1738,10
26.03.2020,0,60,1162,20
26.03.2020,0,70,616,41
26.03.2020,0,80,416,58
27.03.2020,0,0,108,0
27.03.2020,0,10,496,0
27.03.2020,0,20,2532,0
27.03.2020,0,30,960,1
27.03.2020,0,40,1256,1
27.03.2020,0,50,1752,10
27.03.2020,0,60,1170,21
27.03.2020,0,70,630,41
27.03.2020,0,80,428,65
28.03.2020,0,0,109,0
28.03.2020,0,10,501,0
28.03.2020,0,20,2567,0
28.03.2020,0,30,978,1
28.03.2020,0,40,1278,1
28.03.2020,0,50,1780,10
28.03.2020,0,60,1201,21
28.03.2020,0,70,632,41
28.03.2020,0,80,432,70
29.03.2020,0,0,111,0
29.03.2020,0,10,508,0
29.03.2020,0,20,2602,0
29.03.2020,0,30,993,1
29.03.2020,0,40,1292,1
29.03.2020,0,50,1798,10
29.03.2020,0,60,1210,21
29.03.2020,0,70,635,43
29.03.2020,0,80,434,76
30.03.2020,0,0,112,0
30.03.2020,0,10,513,0
30.03.2020,0,20,2630,0
30.03.2020,0,30,1002,1
30.03.2020,0,40,1297,1
30.03.2020,0,50,1812,10
30.03.2020,0,60,1218,21
30.03.2020,0,70,640,45
30.03.2020,0,80,437,80
31.03.2020,0,0,112,0
31.03.2020,0,10,515,0
31.03.2020,0,20,2656,0
31.03.2020,0,30,1012,1
31.03.2020,0,40,1312,1
31.03.2020,0,50,1851,10
31.03.2020,0,60,1235,22
31.03.2020,0,70,651,46
31.03.2020,0,80,442,82
1.04.2020,0,0,116,0
1.04.2020,0,10,519,0
1.04.2020,0,20,2682,0
1.04.2020,0,30,1027,1
1.04.2020,0,40,1323,1
1.04.2020,0,50,1865,10
1.04.2020,0,60,1245,23
1.04.2020,0,70,658,46
1.04.2020,0,80,452,84
2.04.2020,0,0,119,0
2.04.2020,0,10,522,0
2.04.2020,0,20,2704,0
2.04.2020,0,30,1043,1
2.04.2020,0,40,1336,2
2.04.2020,0,50,1878,11
2.04.2020,0,60,1258,23
2.04.2020,0,70,663,47
2.04.2020,0,80,453,85
3.04.2020,0,0,121,0
3.04.2020,0,10,528,0
3.04.2020,0,20,2734,0
3.04.2020,0,30,1052,1
3.04.2020,0,40,1350,2
3.04.2020,0,50,1887,12
3.04.2020,0,60,1266,24
3.04.2020,0,70,668,49
3.04.2020,0,80,456,86
4.04.2020,0,0,122,0
4.04.2020,0,10,530,0
4.04.2020,0,20,2761,0
4.04.2020,0,30,1066,1
4.04.2020,0,40,1358,2
4.04.2020,0,50,1898,12
4.04.2020,0,60,1282,25
4.04.2020,0,70,678,50
4.04.2020,0,80,461,87
5.04.2020,0,0,124,0
5.04.2020,0,10,535,0
5.04.2020,0,20,2789,0
5.04.2020,0,30,1083,1
5.04.2020,0,40,1370,2
5.04.2020,0,50,1904,13
5.04.2020,0,60,1289,25
5.04.2020,0,70,681,51
5.04.2020,0,80,462,91
6.04.2020,0,0,126,0
6.04.2020,0,10,542,0
6.04.2020,0,20,2804,0
6.04.2020,0,30,1086,1
6.04.2020,0,40,1375,2
